episode,timestep,reward
704,4482,45.053
705,4487,45.479
706,4494,63.636
707,4503,81.932
708,4508,45.124
709,4514,53.941
710,4521,63.929
711,4526,45.183
712,4532,54.752
713,4536,36.21
714,4540,36.138
715,4548,73.454
716,4554,54.677
717,4560,54.704
718,4565,45.102
719,4570,44.89
720,4579,82.625
721,4583,36.17
722,4587,35.744
723,4593,54.018
724,4597,36.15
725,4604,63.593
726,4609,45.067
727,4615,54.538
728,4622,63.869
729,4631,82.532
730,4639,72.988
731,4646,63.932
732,4651,45.483
733,4657,54.686
734,4663,54.519
735,4668,44.692
736,4674,54.285
737,4683,82.424
738,4689,54.568
739,4694,45.238
740,4698,35.977
741,4704,54.671
742,4709,45.291
743,4713,36.11
744,4720,64.352
745,4724,36.104
746,4734,91.649
747,4743,83.134
748,4749,54.233
749,4758,82.235
750,4767,82.351
751,4774,63.83
752,4782,73.045
753,4786,36.019
754,4790,35.666
755,4796,54.407
756,4802,54.575
757,4807,44.993
758,4811,35.997
759,4817,53.942
760,4820,26.844
761,4826,54.459
762,4833,64.078
763,4837,35.805
764,4843,54.479
765,4849,54.505
766,4855,54.39
767,4862,63.928
768,4867,45.363
769,4873,54.498
770,4878,45.047
771,4883,45.447
772,4892,82.292
773,4897,44.933
774,4903,54.406
775,4909,54.67
776,4913,36.011
777,4918,45.011
778,4923,44.751
779,4929,54.77
780,4936,64.003
781,4940,36.032
782,4945,44.823
783,4950,45.238
784,4957,63.712
785,4967,91.251
786,4972,44.932
787,4978,54.5
788,4983,45.346
789,4989,54.222
790,4994,45.071
791,5001,63.727
792,5007,54.542
793,5015,73.531
794,5020,45.104
795,5024,35.693
796,5030,54.366
797,5041,101.644
798,5050,82.993
799,5059,82.441
800,5064,44.951
801,5070,54.485
802,5080,92.196
803,5092,110.363
804,5097,44.933
805,5102,44.903
806,5108,54.196
807,5115,64.029
808,5120,45.4
809,5130,91.697
810,5134,36.06
811,5144,91.943
812,5150,54.72
813,5155,45.568
814,5162,64.475
815,5169,63.318
816,5176,64.037
817,5184,73.166
818,5189,45.022
819,5196,64.044
820,5204,73.424
821,5210,54.433
822,5216,54.376
823,5220,36.066
824,5225,45.382
825,5230,45.025
826,5234,36.077
827,5238,35.939
828,5243,45.324
829,5248,45.237
830,5256,73.409
831,5263,63.645
832,5269,54.324
833,5273,36.296
834,5279,54.678
835,5288,82.534
836,5296,72.534
837,5302,54.629
838,5308,54.696
839,5314,54.653
840,5322,73.2
841,5329,63.777
842,5335,54.237
843,5342,63.981
844,5346,36.119
845,5353,63.819
846,5357,36.298
847,5365,73.409
848,5372,63.682
849,5377,45.303
850,5385,73.296
851,5395,91.76
852,5399,36.017
853,5405,54.725
854,5411,54.339
855,5416,44.951
856,5424,73.601
857,5433,82.48
858,5440,64.2
859,5446,54.764
860,5454,73.205
861,5462,72.949
862,5469,64.204
863,5475,54.365
864,5485,91.872
865,5489,36.086
866,5495,54.523
867,5500,45.26
868,5506,54.293
869,5511,45.031
870,5515,35.729
871,5521,54.237
872,5526,44.599
873,5531,45.212
874,5539,73.01
875,5546,63.87
876,5553,63.535
877,5559,54.237
878,5564,45.179
879,5569,45.163
880,5573,36.048
881,5579,54.162
882,5589,92.225
883,5595,54.944
884,5602,63.508
885,5611,82.155
886,5617,54.674
887,5624,64.151
888,5628,36.221
889,5634,54.41
890,5641,64.1
891,5649,73.326
892,5654,44.724
893,5660,54.381
894,5666,54.743
895,5671,45.469
896,5676,45.107
897,5685,82.758
898,5691,54.364
899,5702,101.052
900,5708,54.421
901,5713,44.819
902,5719,54.731
903,5723,35.935
904,5728,45.23
905,5740,110.424
906,5746,54.671
907,5750,36.024
908,5757,63.587
909,5765,72.943
910,5772,63.587
911,5779,63.685
912,5786,63.781
913,5791,45.278
914,5796,45.028
915,5805,82.517
916,5810,45.088
917,5816,54.22
918,5824,72.908
919,5829,45.463
920,5834,45.094
921,5840,54.267
922,5846,54.456
923,5851,45.098
924,5857,54.262
925,5865,72.877
926,5871,54.61
927,5877,54.203
928,5884,64.004
929,5890,54.747
930,5898,72.782
931,5903,45.124
932,5910,63.511
933,5916,54.816
934,5925,82.301
935,5936,101.316
936,5941,45.408
937,5950,82.676
938,5954,35.914
939,5960,54.704
940,5965,44.959
941,5971,54.487
942,5977,54.344
943,5983,54.567
944,5987,35.876
945,5992,45.042
946,5997,44.895
947,6007,91.897
948,6013,54.532
949,6019,54.524
950,6023,36.027
951,6028,45.545
952,6033,44.963
953,6039,54.538
954,6044,44.977
955,6053,82.822
956,6059,54.755
957,6064,45.374
958,6070,54.405
959,6078,73.578
960,6083,44.833
961,6090,63.499
962,6097,63.619
963,6102,44.924
964,6107,45.409
965,6113,54.179
966,6120,64.282
967,6130,91.401
968,6137,64.014
969,6143,54.638
970,6149,54.544
971,6154,44.946
972,6167,119.602
973,6174,63.62
974,6182,73.37
975,6190,73.433
976,6196,54.704
977,6201,44.967
978,6206,44.78
979,6213,63.644
980,6219,54.338
981,6226,63.573
982,6230,36.234
983,6240,91.657
984,6244,36.174
985,6249,45.326
986,6254,45.111
987,6259,45.373
988,6267,72.867
989,6271,36.103
990,6275,36.238
991,6282,64.039
992,6290,73.239
993,6296,54.803
994,6301,45.386
995,6306,45.396
996,6314,73.164
997,6319,45.308
998,6323,36.005
999,6331,73.217
1000,6335,35.825
1001,6341,54.741
1002,6348,64.149
1003,6354,54.595
1004,6360,54.26
1005,6365,45.141
1006,6370,45.462
1007,6375,44.558
1008,6381,54.285
1009,6386,44.9
1010,6394,73.212
1011,6401,64.224
1012,6407,54.151
1013,6412,44.933
1014,6417,45.049
1015,6421,36.077
1016,6425,36.124
1017,6433,72.996
1018,6442,82.349
1019,6446,35.96
1020,6453,63.575
1021,6460,64.001
1022,6469,81.887
1023,6474,44.731
1024,6481,63.384
1025,6490,82.531
1026,6494,36.137
1027,6500,54.679
1028,6505,44.882
1029,6512,63.832
1030,6523,101.252
1031,6527,36.293
1032,6534,63.468
1033,6540,54.702
1034,6546,54.59
1035,6557,101.447
1036,6562,45.142
1037,6569,63.904
1038,6576,64.24
1039,6581,45.324
1040,6592,100.476
1041,6604,109.979
1042,6611,63.268
1043,6621,91.782
1044,6626,45.263
1045,6635,82.552
1046,6640,45.471
1047,6646,54.591
1048,6651,44.976
1049,6659,73.079
1050,6666,64.015
1051,6672,54.574
1052,6676,35.815
1053,6682,54.351
1054,6688,54.75
1055,6692,36.016
1056,6699,63.461
1057,6705,54.192
1058,6711,54.655
1059,6716,45.326
1060,6722,54.515
1061,6727,45.153
1062,6732,45.465
1063,6746,129.113
1064,6754,73.036
1065,6763,82.852
1066,6771,73.482
1067,6777,54.419
1068,6784,63.914
1069,6789,44.835
1070,6795,54.494
1071,6800,45.535
1072,6805,45.262
1073,6812,63.992
1074,6818,54.802
1075,6828,92.363
1076,6832,36.027
1077,6840,72.673
1078,6845,45.031
1079,6849,36.129
1080,6856,63.818
1081,6865,82.376
1082,6870,45.352
1083,6881,100.803
1084,6889,72.961
1085,6901,110.407
1086,6907,54.685
1087,6915,72.83
1088,6923,73.127
1089,6930,63.681
1090,6936,54.482
1091,6943,63.912
1092,6946,26.972
1093,6951,45.517
1094,6960,82.486
1095,6965,45.441
1096,6970,45.546
1097,6976,54.343
1098,6984,73.136
1099,6989,44.9
1100,6996,63.501
1101,7004,72.825
1102,7009,45.038
1103,7022,119.846
1104,7031,82.529
1105,7035,35.55
1106,7040,45.402
1107,7044,36.125
1108,7053,82.047
1109,7059,54.545
1110,7064,44.976
1111,7070,54.594
1112,7076,54.594
1113,7083,63.618
1114,7088,45.29
1115,7094,54.77
1116,7099,45.139
1117,7104,44.74
1118,7111,63.327
1119,7116,45.099
1120,7121,45.475
1121,7128,63.807
1122,7132,36.09
1123,7138,54.527
1124,7150,110.391
1125,7157,63.474
1126,7164,63.389
1127,7168,36.062
1128,7175,63.503
1129,7181,54.172
1130,7187,54.315
1131,7196,82.874
1132,7201,45.059
1133,7209,73.325
1134,7214,45.457
1135,7220,54.182
1136,7226,54.224
1137,7234,73.422
1138,7247,119.872
1139,7253,54.834
1140,7258,45.533
1141,7262,35.897
1142,7268,54.327
1143,7272,36.164
1144,7279,64.092
1145,7285,54.801
1146,7291,54.329
1147,7296,44.989
1148,7301,45.492
1149,7309,72.788
1150,7315,54.449
1151,7320,45.177
1152,7326,54.754
1153,7330,35.982
1154,7337,63.85
1155,7342,45.597
1156,7346,36.196
1157,7351,45.421
1158,7357,54.378
1159,7365,73.326
1160,7370,45.07
1161,7376,54.605
1162,7380,36.039
1163,7389,82.607
1164,7396,64.019
1165,7404,73.006
1166,7410,54.523
1167,7414,36.085
1168,7418,36.105
1169,7423,45.321
1170,7430,63.712
1171,7436,54.318
1172,7443,64.12
1173,7451,73.6
1174,7458,64.082
1175,7464,54.424
1176,7471,63.824
1177,7476,45.003
1178,7482,54.228
1179,7487,45.234
1180,7491,36.224
1181,7498,63.923
1182,7502,35.773
1183,7509,63.873
1184,7515,54.399
1185,7521,54.645
1186,7527,54.298
1187,7535,73.188
1188,7543,72.968
1189,7548,45.525
1190,7552,36.165
1191,7561,82.706
1192,7571,91.599
1193,7576,45.43
1194,7580,36.0
1195,7585,44.777
1196,7589,35.761
1197,7604,138.505
1198,7610,54.44
1199,7620,91.316
1200,7628,72.833
1201,7637,82.531
1202,7642,45.534
1203,7651,82.529
1204,7655,36.077
1205,7660,44.996
1206,7665,45.197
1207,7671,54.188
1208,7677,54.654
1209,7685,72.662
1210,7690,45.309
1211,7697,64.02
1212,7704,63.891
1213,7712,72.845
1214,7716,36.086
1215,7722,53.999
1216,7732,91.172
1217,7738,54.431
1218,7744,54.693
1219,7748,36.132
1220,7752,35.759
1221,7758,54.708
1222,7766,73.415
1223,7774,73.261
